respondent_id,xyz_vaccine,seasonal_vaccine
30958,0.38,0.8
30959,0.78,0.9
30960,0.35,0.7
30961,0.29,0.52
30962,0.09,0.18
30963,0.17,0.84
30964,0.1,0.47
30965,0.11,0.31
30966,0.02,0.05
30967,0.87,0.91
30968,0.13,0.67
30969,0.2,0.86
30970,0.13,0.27
30971,0.08,0.17
30972,0.42,0.63
30973,0.17,0.11
30974,0.08,0.64
30975,0.55,0.76
30976,0.18,0.42
30977,0.08,0.21
30979,0.39,0.9
30980,0.72,0.9
30981,0.16,0.08
30982,0.13,0.26
30983,0.01,0.95
30984,0.23,0.32
30985,0.83,0.79
30986,0.12,0.09
30987,0.06,0.26
30988,0.43,0.86
30989,0.1,0.8
30990,0.68,0.87
30991,0.07,0.27
30992,0.25,0.33
30993,0.04,0.25
30994,0.03,0.06
30995,0.2,0.35
30996,0.09,0.37
30997,0.31,0.67
30998,0.17,0.71
30999,0.18,0.73
31000,0.04,0.04
31001,0.57,0.54
31002,0.11,0.27
31003,0.04,0.25
31004,0.61,0.94
31005,0.78,0.81
31006,0.11,0.23
31007,0.09,0.39
31008,0.33,0.33
31009,0.04,0.35
31010,0.6,0.84
31011,0.32,0.72
31012,0.64,0.42
31013,0.4,0.19
31014,0.1,0.26
31015,0.01,0.05
31016,0.38,0.67
31018,0.05,0.22
31019,0.14,0.61
31020,0.15,0.21
31021,0.1,0.14
31022,0.35,0.91
31024,0.04,0.05
31025,0.79,0.96
31026,0.07,0.13
31027,0.77,0.84
31028,0.02,0.63
31029,0.13,0.17
31031,0.04,0.46
31032,0.06,0.51
31033,0.09,0.17
31034,0.04,0.76
31035,0.74,0.91
31037,0.04,0.27
31038,0.06,0.38
31039,0.08,0.78
31040,0.15,0.49
31041,0.04,0.92
31043,0.04,0.19
31044,0.05,0.37
31045,0.1,0.58
31046,0.13,0.78
31047,0.08,0.22
31048,0.35,0.71
31049,0.2,0.25
31050,0.1,0.22
31051,0.08,0.11
31052,0.68,0.8
31053,0.08,0.28
31054,0.38,0.57
31056,0.08,0.13
31057,0.81,0.71
31058,0.06,0.88
31059,0.11,0.37
31060,0.49,0.74
31061,0.01,0.12
31062,0.37,0.59
31063,0.29,0.81
31064,0.22,0.04
31066,0.42,0.86
31067,0.13,0.01
31069,0.78,0.77
31070,0.03,0.53
31071,0.38,0.42
31072,0.1,0.22
31073,0.36,0.91
31074,0.09,0.91
31075,0.04,0.72
31076,0.45,0.92
31077,0.21,0.52
31078,0.01,0.04
31079,0.42,0.81
31080,0.57,0.69
31081,0.11,0.87
31082,0.21,0.67
31083,0.13,0.93
31084,0.07,0.17
31086,0.08,0.47
31087,0.17,0.92
31089,0.08,0.22
31090,0.49,0.69
31091,0.1,0.68
31092,0.1,0.22
31094,0.04,0.61
31097,0.6,0.73
31098,0.01,0.03
31099,0.06,0.27
31100,0.1,0.79
31101,0.09,0.16
31102,0.36,0.71
31103,0.39,0.9
31104,0.05,0.5
31105,0.05,0.63
31106,0.13,0.76
31107,0.08,0.57
31108,0.11,0.22
31109,0.28,0.16
31110,0.03,0.33
31112,0.03,0.28
31113,0.1,0.41
31114,0.1,0.74
31115,0.01,0.26
31116,0.11,0.13
31117,0.32,0.93
31118,0.03,0.59
31120,0.03,0.16
31121,0.61,0.76
31122,0.52,0.65
31123,0.13,0.31
31124,0.04,0.09
31125,0.3,0.53
31126,0.02,0.16
31127,0.19,0.04
31128,0.05,0.57
31129,0.05,0.1
31130,0.01,0.03
31131,0.75,0.88
31132,0.14,0.76
31133,0.02,0.28
31135,0.01,0.47
31136,0.36,0.68
31137,0.02,0.05
31138,0.81,0.55
31139,0.28,0.76
31140,0.1,0.27
31141,0.21,0.79
31142,0.78,0.93
31143,0.34,0.58
31144,0.05,0.66
31146,0.09,0.18
31147,0.22,0.41
31148,0.26,0.51
31149,0.03,0.3
31150,0.1,0.46
31152,0.1,0.37
31153,0.1,0.25
31154,0.4,0.63
31155,0.76,0.96
31156,0.08,0.25
31157,0.19,0.6
31158,0.9,0.97
31159,0.01,0.06
31160,0.05,0.15
31161,0.33,0.52
31162,0.64,0.92
31163,0.16,0.48
31164,0.06,0.66
31165,0.28,0.18
31166,0.07,0.23
31169,0.03,0.29
31170,0.21,0.14
31171,0.29,0.36
31172,0.69,0.83
31173,0.08,0.4
31175,0.18,0.26
31176,0.5,0.52
31178,0.42,0.87
31179,0.25,0.71
31181,0.49,0.52
31182,0.05,0.68
31183,0.22,0.42
31184,0.01,0.01
31185,0.15,0.39
31188,0.14,0.27
31189,0.09,0.15
31190,0.11,0.42
31191,0.28,0.58
31192,0.07,0.27
31193,0.09,0.31
31194,0.11,0.33
31195,0.59,0.33
31196,0.16,0.56
31197,0.1,0.34
31198,0.03,0.05
31200,0.09,0.66
31201,0.04,0.24
31202,0.42,0.91
31203,0.09,0.03
31204,0.06,0.17
31205,0.03,0.93
31206,0.09,0.31
31208,0.38,0.89
31209,0.27,0.76
31210,0.21,0.84
31212,0.11,0.35
31214,0.08,0.38
31215,0.07,0.8
31216,0.04,0.1
31217,0.2,0.78
31218,0.7,0.86
31219,0.6,0.84
31220,0.18,0.29
31221,0.15,0.6
31222,0.12,0.76
31223,0.32,0.26
31224,0.03,0.64
31225,0.01,0.04
31226,0.4,0.93
31228,0.36,0.49
31229,0.48,0.72
31230,0.08,0.37
31231,0.08,0.2
31232,0.03,0.81
31233,0.69,0.75
31234,0.34,0.84
31235,0.23,0.47
31236,0.2,0.85
31237,0.08,0.51
31238,0.25,0.84
31239,0.68,0.63
31240,0.72,0.85
31242,0.13,0.14
31244,0.45,0.72
31245,0.14,0.42
31246,0.04,0.1
31247,0.13,0.34
31248,0.56,0.69
31251,0.46,0.87
31252,0.47,0.24
31253,0.2,0.81
31254,0.09,0.38
31255,0.07,0.43
31256,0.05,0.1
31257,0.08,0.25
31258,0.06,0.14
31259,0.32,0.82
31260,0.08,0.09
31261,0.06,0.16
31262,0.59,0.91
31263,0.31,0.26
31264,0.02,0.15
31265,0.51,0.64
31266,0.08,0.05
31267,0.32,0.95
31268,0.6,0.92
31269,0.06,0.16
31270,0.13,0.62
31271,0.03,0.07
31272,0.7,0.9
31273,0.31,0.56
31274,0.22,0.66
31275,0.12,0.05
31276,0.1,0.83
31277,0.09,0.19
31278,0.16,0.5
31279,0.12,0.11
31280,0.17,0.8
31281,0.06,0.05
31282,0.21,0.67
31283,0.09,0.34
31284,0.06,0.22
31285,0.09,0.96
31286,0.25,0.51
31289,0.24,0.75
31290,0.01,0.22
31291,0.04,0.03
31292,0.06,0.68
31293,0.1,0.68
31294,0.59,0.94
31296,0.65,0.74
31297,0.07,0.83
31298,0.13,0.84
31299,0.21,0.41
31301,0.82,0.95
31302,0.11,0.73
31303,0.13,0.22
31304,0.04,0.21
31306,0.13,0.85
31307,0.01,0.06
31308,0.5,0.66
31309,0.12,0.33
31310,0.35,0.6
31311,0.09,0.34
31312,0.43,0.89
31313,0.26,0.36
31314,0.37,0.57
31317,0.07,0.19
31319,0.14,0.38
31320,0.03,0.72
31321,0.3,0.11
31322,0.71,0.92
31323,0.56,0.76
31324,0.09,0.22
31326,0.82,0.92
31327,0.1,0.42
31328,0.9,0.97
31329,0.09,0.76
31330,0.01,0.12
31331,0.11,0.5
31332,0.76,0.84
31335,0.27,0.48
31336,0.14,0.39
31337,0.12,0.55
31338,0.03,0.02
31339,0.04,0.57
31340,0.13,0.33
31342,0.23,0.24
31344,0.65,0.8
31345,0.6,0.89
31346,0.2,0.47
31347,0.12,0.23
31348,0.52,0.81
31349,0.11,0.28
31350,0.14,0.82
31351,0.07,0.45
31352,0.06,0.25
31354,0.03,0.69
31355,0.08,0.45
31356,0.1,0.3
31357,0.43,0.53
31358,0.04,0.1
31359,0.09,0.14
31360,0.15,0.25
31361,0.38,0.51
31362,0.02,0.41
31363,0.43,0.65
31364,0.13,0.51
31365,0.42,0.58
31366,0.25,0.1
31367,0.1,0.21
31369,0.49,0.78
31370,0.09,0.24
31371,0.11,0.21
31372,0.83,0.8
31373,0.04,0.47
31374,0.2,0.26
31375,0.13,0.76
31376,0.09,0.69
31378,0.08,0.61
31379,0.79,0.93
31380,0.49,0.65
31381,0.14,0.21
31382,0.07,0.39
31383,0.81,0.94
31384,0.65,0.79
31385,0.26,0.83
31387,0.2,0.4
31388,0.9,0.16
31389,0.04,0.94
31391,0.77,0.96
31392,0.23,0.71
31394,0.48,0.67
31395,0.04,0.13
31397,0.09,0.34
31398,0.24,0.48
31399,0.82,0.94
31400,0.88,0.86
31401,0.1,0.65
31403,0.57,0.05
31406,0.08,0.3
31407,0.57,0.32
31408,0.11,0.39
31409,0.03,0.11
31411,0.39,0.33
31413,0.17,0.27
31415,0.05,0.32
31416,0.23,0.69
31417,0.22,0.81
31418,0.01,0.14
31419,0.8,0.94
31421,0.06,0.1
31422,0.13,0.13
31423,0.69,0.88
31424,0.17,0.78
31425,0.08,0.31
31426,0.17,0.89
31427,0.2,0.76
31429,0.2,0.7
31430,0.15,0.67
31431,0.13,0.17
31432,0.1,0.03
31433,0.91,0.95
31434,0.5,0.62
31435,0.08,0.29
31436,0.4,0.28
31437,0.27,0.6
31438,0.28,0.47
31439,0.39,0.79
31440,0.24,0.89
31442,0.79,0.78
31443,0.02,0.09
31444,0.01,0.28
31445,0.09,0.25
31446,0.49,0.82
31447,0.4,0.61
31448,0.85,0.97
31449,0.08,0.04
31450,0.24,0.96
31451,0.18,0.93
31452,0.33,0.21
31453,0.21,0.37
31454,0.74,0.92
31455,0.15,0.94
31456,0.08,0.35
31457,0.29,0.26
31458,0.19,0.47
31460,0.06,0.21
31461,0.07,0.61
31462,0.1,0.72
31463,0.05,0.89
31464,0.09,0.28
31465,0.73,0.91
31466,0.02,0.12
31467,0.5,0.94
31468,0.2,0.69
31469,0.7,0.84
31472,0.19,0.52
31473,0.68,0.86
31474,0.18,0.6
31475,0.49,0.88
31476,0.05,0.16
31477,0.15,0.18
31479,0.46,0.88
31481,0.05,0.38
31482,0.39,0.95
31483,0.19,0.26
31484,0.06,0.08
31485,0.01,0.03
31487,0.76,0.85
31488,0.04,0.19
31489,0.7,0.74
31490,0.58,0.84
31491,0.33,0.61
31493,0.05,0.16
31494,0.04,0.27
31496,0.14,0.46
31497,0.08,0.17
31498,0.14,0.16
31499,0.18,0.36
31500,0.77,0.88
31501,0.13,0.68
31502,0.01,0.34
31503,0.11,0.1
31504,0.22,0.57
31505,0.4,0.88
31506,0.19,0.26
31507,0.06,0.81
31508,0.21,0.4
31509,0.13,0.82
31511,0.07,0.23
31512,0.31,0.65
31513,0.22,0.26
31514,0.67,0.77
31515,0.21,0.43
31516,0.09,0.16
31517,0.3,0.46
31518,0.05,0.6
31519,0.09,0.73
31520,0.08,0.34
31521,0.11,0.8
31522,0.58,0.88
31524,0.03,0.22
31525,0.4,0.88
31526,0.15,0.76
31527,0.09,0.52
31528,0.23,0.67
31529,0.15,0.4
31530,0.05,0.3
31531,0.18,0.59
31532,0.06,0.27
31533,0.92,0.93
31534,0.18,0.16
31535,0.3,0.61
31536,0.11,0.81
31538,0.1,0.34
31539,0.74,0.94
31540,0.1,0.32
31542,0.23,0.43
31543,0.21,0.43
31544,0.48,0.79
31545,0.04,0.33
31546,0.03,0.16
31547,0.77,0.94
31548,0.21,0.33
31549,0.15,0.55
31550,0.12,0.24
31551,0.75,0.74
31552,0.07,0.77
31553,0.09,0.51
31554,0.09,0.06
31555,0.62,0.77
31557,0.02,0.05
31558,0.31,0.52
31559,0.52,0.84
31560,0.44,0.66
31561,0.06,0.09
31562,0.03,0.02
31563,0.05,0.11
31564,0.1,0.28
31565,0.24,0.95
31566,0.19,0.25
31568,0.05,0.73
31569,0.02,0.02
31570,0.33,0.67
31571,0.04,0.16
31572,0.06,0.09
31573,0.39,0.24
31574,0.23,0.65
31575,0.5,0.43
31576,0.12,0.7
31577,0.08,0.57
31578,0.19,0.77
31579,0.12,0.37
31581,0.46,0.94
31582,0.11,0.58
31583,0.18,0.75
31585,0.07,0.17
31586,0.03,0.04
31587,0.21,0.32
31588,0.36,0.53
31589,0.04,0.04
31590,0.72,0.35
31591,0.07,0.62
31592,0.15,0.06
31593,0.12,0.18
31594,0.05,0.63
31595,0.12,0.37
31596,0.7,0.84
31599,0.17,0.79
31600,0.13,0.49
31601,0.12,0.71
31602,0.08,0.18
31603,0.05,0.5
31604,0.11,0.38
31605,0.04,0.21
31606,0.08,0.34
31607,0.24,0.59
31608,0.36,0.52
31609,0.06,0.33
31610,0.03,0.08
31611,0.13,0.46
31612,0.31,0.28
31613,0.03,0.03
31614,0.07,0.17
31615,0.23,0.52
31616,0.08,0.45
31617,0.55,0.62
31618,0.2,0.66
31619,0.29,0.57
31621,0.03,0.03
31622,0.76,0.92
31623,0.11,0.12
31624,0.13,0.06
31625,0.05,0.7
31626,0.21,0.34
31627,0.08,0.22
31629,0.34,0.32
31630,0.05,0.95
31632,0.41,0.34
31633,0.14,0.32
31634,0.11,0.58
31635,0.21,0.23
31636,0.41,0.26
31638,0.4,0.82
31640,0.04,0.21
31641,0.72,0.93
31642,0.58,0.78
31643,0.19,0.26
31644,0.11,0.64
31645,0.03,0.12
31647,0.23,0.66
31649,0.45,0.79
31650,0.66,0.5
31651,0.8,0.92
31652,0.85,0.92
31653,0.06,0.36
31654,0.04,0.09
31655,0.08,0.26
31656,0.11,0.57
31657,0.06,0.23
31658,0.11,0.18
31659,0.17,0.51
31660,0.73,0.87
31661,0.23,0.72
31662,0.28,0.05
31663,0.76,0.89
31664,0.53,0.91
31665,0.06,0.89
31666,0.09,0.66
31667,0.09,0.25
31668,0.05,0.21
31669,0.07,0.26
31670,0.17,0.81
31671,0.09,0.38
31673,0.04,0.35
31674,0.14,0.54
31675,0.39,0.66
31676,0.03,0.22
31677,0.07,0.1
31678,0.66,0.81
31679,0.2,0.47
31680,0.09,0.86
31682,0.06,0.29
31683,0.06,0.22
31684,0.07,0.08
31685,0.22,0.41
31686,0.43,0.07
31687,0.12,0.52
31689,0.03,0.8
31691,0.14,0.39
31692,0.04,0.15
31693,0.07,0.11
31694,0.27,0.65
31695,0.22,0.18
31696,0.16,0.49
31697,0.75,0.77
31698,0.22,0.09
31699,0.24,0.86
31701,0.13,0.75
31702,0.02,0.64
31704,0.84,0.84
31706,0.1,0.76
31707,0.57,0.86
31708,0.25,0.85
31709,0.74,0.8
31710,0.41,0.29
31711,0.13,0.35
31712,0.12,0.4
31713,0.02,0.1
31715,0.43,0.84
31716,0.08,0.35
31718,0.25,0.5
31720,0.24,0.77
31721,0.02,0.18
31722,0.29,0.78
31723,0.15,0.33
31724,0.52,0.49
31725,0.03,0.13
31726,0.09,0.22
31727,0.08,0.26
31728,0.06,0.53
31729,0.11,0.48
31730,0.54,0.96
31731,0.01,0.27
31732,0.41,0.32
31733,0.41,0.71
31734,0.03,0.1
31735,0.21,0.6
31736,0.03,0.18
31737,0.13,0.23
31738,0.16,0.44
31739,0.09,0.85
31740,0.36,0.68
31741,0.09,0.25
31742,0.36,0.88
31743,0.14,0.29
31744,0.19,0.41
31745,0.13,0.17
31746,0.04,0.16
31747,0.2,0.6
31748,0.07,0.05
31750,0.08,0.14
31751,0.13,0.11
31752,0.05,0.05
31753,0.11,0.88
31755,0.04,0.08
31757,0.29,0.64
31758,0.82,0.91
31759,0.11,0.21
31761,0.24,0.48
31763,0.84,0.86
31764,0.09,0.45
31765,0.24,0.73
31766,0.17,0.17
31767,0.24,0.84
31768,0.08,0.09
31769,0.13,0.27
31770,0.14,0.37
31771,0.26,0.61
31772,0.19,0.47
31773,0.01,0.34
31774,0.07,0.64
31775,0.11,0.93
31776,0.75,0.82
31778,0.06,0.07
31779,0.01,0.03
31780,0.08,0.64
31781,0.09,0.13
31782,0.12,0.4
31783,0.26,0.43
31784,0.12,0.17
31785,0.18,0.33
31786,0.06,0.1
31787,0.13,0.42
31790,0.2,0.17
31793,0.03,0.06
31794,0.08,0.44
31795,0.18,0.15
31796,0.31,0.29
31797,0.42,0.81
31798,0.15,0.45
31799,0.01,0.06
31800,0.19,0.51
31801,0.31,0.66
31802,0.75,0.94
31803,0.19,0.92
31805,0.12,0.35
31806,0.19,0.02
31808,0.02,0.91
31809,0.49,0.27
31810,0.01,0.16
31811,0.74,0.25
31813,0.27,0.64
31814,0.3,0.7
31815,0.17,0.45
31816,0.13,0.59
31818,0.45,0.87
31820,0.23,0.26
31821,0.13,0.32
31822,0.37,0.88
31823,0.07,0.29
31824,0.13,0.72
31825,0.25,0.37
31826,0.12,0.5
31827,0.46,0.35
31828,0.12,0.59
31829,0.07,0.15
31831,0.11,0.82
31832,0.15,0.64
31833,0.12,0.88
31834,0.06,0.57
31835,0.03,0.07
31836,0.03,0.02
31837,0.76,0.97
31838,0.22,0.73
31839,0.06,0.45
31840,0.02,0.27
31841,0.05,0.2
31842,0.11,0.31
31843,0.76,0.94
31844,0.19,0.65
31845,0.5,0.76
31846,0.51,0.75
31847,0.05,0.53
31848,0.07,0.26
31850,0.01,0.21
31851,0.09,0.17
31852,0.18,0.49
31853,0.7,0.7
31854,0.77,0.89
31855,0.73,0.71
31856,0.08,0.24
31857,0.11,0.5
31858,0.08,0.48
31859,0.41,0.72
31860,0.19,0.52
31861,0.08,0.22
31862,0.02,0.14
31863,0.21,0.47
31864,0.07,0.62
31865,0.08,0.7
31866,0.11,0.28
31867,0.06,0.24
31868,0.05,0.04
31869,0.02,0.17
31870,0.08,0.17
31871,0.64,0.89
31872,0.16,0.37
31873,0.15,0.31
31874,0.21,0.6
31875,0.2,0.22
31876,0.1,0.41
31877,0.04,0.17
31878,0.08,0.66
31879,0.22,0.59
31880,0.11,0.23
31881,0.69,0.52
31882,0.01,0.06
31884,0.08,0.26
31885,0.08,0.67
31886,0.1,0.3
31887,0.05,0.14
31889,0.17,0.91
31890,0.16,0.34
31891,0.07,0.09
31892,0.3,0.81
31893,0.22,0.6
31894,0.5,0.82
31895,0.1,0.26
31896,0.11,0.76
31897,0.48,0.88
31898,0.2,0.21
31900,0.47,0.57
31901,0.12,0.26
31902,0.09,0.17
31903,0.39,0.57
31904,0.12,0.24
31906,0.07,0.21
31907,0.03,0.51
31908,0.03,0.12
31910,0.01,0.33
31911,0.02,0.91
31912,0.1,0.43
31913,0.1,0.28
31914,0.12,0.8
31915,0.13,0.77
31916,0.07,0.83
31918,0.12,0.94
31919,0.76,0.87
31920,0.04,0.83
31921,0.08,0.33
31922,0.09,0.05
31923,0.04,0.23
31924,0.35,0.52
31925,0.05,0.5
31926,0.03,0.08
31928,0.26,0.96
31929,0.14,0.44
31930,0.44,0.69
31931,0.18,0.83
31932,0.07,0.3
31933,0.65,0.09
31934,0.14,0.3
31935,0.54,0.89
31936,0.04,0.02
31938,0.57,0.47
31939,0.02,0.04
31940,0.06,0.04
31941,0.05,0.72
31942,0.01,0.01
31944,0.04,0.56
31945,0.31,0.62
31946,0.22,0.09
31948,0.06,0.86
31949,0.05,0.21
31950,0.06,0.26
31951,0.39,0.28
31953,0.09,0.22
31954,0.3,0.91
31955,0.04,0.16
31956,0.18,0.13
31957,0.3,0.49
31958,0.05,0.02
31959,0.12,0.33
31963,0.77,0.76
31964,0.08,0.26
31965,0.07,0.84
31966,0.2,0.31
31967,0.08,0.19
31968,0.7,0.5
31969,0.34,0.5
31970,0.59,0.71
31971,0.12,0.5
31972,0.11,0.27
31973,0.13,0.27
31974,0.07,0.19
31975,0.01,0.06
31977,0.02,0.08
31978,0.23,0.73
31979,0.02,0.03
31980,0.24,0.74
31981,0.22,0.57
31983,0.66,0.46
31984,0.04,0.07
31985,0.09,0.22
31986,0.34,0.76
31988,0.51,0.43
31989,0.23,0.95
31990,0.02,0.88
31991,0.23,0.36
31992,0.24,0.08
31993,0.72,0.63
31994,0.1,0.18
31995,0.58,0.8
31996,0.3,0.14
31997,0.08,0.71
31998,0.02,0.06
31999,0.02,0.06
32000,0.21,0.71
32001,0.13,0.66
32002,0.51,0.59
32003,0.19,0.41
32004,0.51,0.71
32005,0.04,0.18
32006,0.19,0.89
32007,0.55,0.95
32008,0.08,0.09
32010,0.22,0.63
32011,0.15,0.62
32012,0.06,0.8
32013,0.42,0.94
32014,0.07,0.6
32015,0.27,0.23
32016,0.38,0.5
32017,0.04,0.21
32018,0.11,0.07
32019,0.24,0.65
32020,0.68,0.95
32022,0.21,0.37
32023,0.1,0.66
32024,0.21,0.45
32025,0.31,0.19
32026,0.17,0.67
32027,0.11,0.87
32028,0.87,0.91
32029,0.04,0.09
32030,0.26,0.23
32031,0.06,0.22
32032,0.8,0.54
32033,0.04,0.03
32034,0.05,0.64
32035,0.11,0.26
32036,0.17,0.66
32037,0.21,0.85
32038,0.26,0.66
32039,0.59,0.74
32041,0.74,0.96
32042,0.07,0.48
32044,0.01,0.26
32045,0.18,0.86
32046,0.19,0.46
32047,0.86,0.93
32048,0.1,0.34
32049,0.01,0.13
32050,0.37,0.65
32051,0.06,0.65
32052,0.42,0.84
32053,0.02,0.09
32055,0.1,0.47
32056,0.08,0.25
32057,0.06,0.08
32058,0.02,0.1
32059,0.08,0.64
32060,0.04,0.73
32061,0.13,0.07
32062,0.09,0.43
32063,0.03,0.59
32064,0.06,0.26
32065,0.08,0.5
32066,0.16,0.36
32067,0.02,0.04
32069,0.46,0.94
32070,0.82,0.96
32071,0.5,0.81
32072,0.71,0.94
32073,0.02,0.17
32074,0.07,0.34
32075,0.03,0.07
32076,0.03,0.47
32077,0.08,0.24
32078,0.03,0.09
32079,0.07,0.22
32080,0.01,0.04
32081,0.22,0.83
32083,0.09,0.21
32084,0.09,0.56
32085,0.08,0.44
32086,0.59,0.65
32087,0.14,0.84
32088,0.06,0.52
32089,0.42,0.85
32090,0.01,0.29
32091,0.3,0.32
32092,0.15,0.27
32094,0.21,0.3
32095,0.76,0.82
32096,0.13,0.75
32097,0.24,0.28
32098,0.07,0.13
32099,0.12,0.35
32100,0.04,0.21
32101,0.62,0.8
32102,0.03,0.05
32104,0.01,0.13
32105,0.12,0.45
32106,0.48,0.78
32108,0.15,0.15
32109,0.15,0.42
32110,0.09,0.25
32112,0.74,0.86
32113,0.12,0.45
32114,0.61,0.62
32115,0.09,0.17
32116,0.06,0.08
32118,0.06,0.4
32119,0.32,0.69
32120,0.51,0.96
32121,0.47,0.8
32122,0.18,0.64
32123,0.04,0.4
32124,0.14,0.96
32126,0.7,0.8
32128,0.31,0.72
32129,0.08,0.21
32130,0.66,0.6
32131,0.9,0.97
32132,0.06,0.67
32133,0.02,0.06
32134,0.09,0.85
32135,0.03,0.28
32136,0.22,0.26
32138,0.21,0.8
32140,0.74,0.31
32142,0.09,0.79
32144,0.32,0.27
32146,0.02,0.1
32147,0.01,0.17
32148,0.51,0.86
32150,0.13,0.91
32151,0.01,0.04
32152,0.09,0.5
32153,0.08,0.48
32154,0.02,0.03
32155,0.03,0.35
32156,0.02,0.07
32157,0.04,0.1
32158,0.03,0.63
32159,0.76,0.88
32160,0.18,0.39
32161,0.44,0.2
32162,0.1,0.32
32163,0.09,0.21
32165,0.11,0.85
32166,0.15,0.25
32167,0.09,0.45
32168,0.11,0.28
32170,0.62,0.89
32171,0.01,0.81
32172,0.84,0.94
32173,0.2,0.64
32174,0.09,0.12
32175,0.21,0.81
32176,0.74,0.91
32177,0.07,0.6
32178,0.06,0.26
32179,0.12,0.66
32180,0.12,0.51
32183,0.18,0.94
32184,0.12,0.56
32185,0.56,0.66
32186,0.14,0.42
32187,0.15,0.27
32188,0.26,0.38
32189,0.29,0.72
32190,0.24,0.4
32191,0.13,0.22
32192,0.01,0.32
32193,0.04,0.11
32194,0.01,0.03
32195,0.13,0.3
32196,0.39,0.52
32198,0.51,0.88
32199,0.76,0.97
32200,0.43,0.76
32201,0.16,0.52
32202,0.09,0.92
32203,0.27,0.88
32204,0.17,0.33
32206,0.04,0.52
32207,0.73,0.82
32208,0.08,0.34
32209,0.03,0.08
32210,0.04,0.7
32211,0.05,0.03
32212,0.01,0.11
32213,0.05,0.08
32214,0.05,0.22
32215,0.34,0.46
32216,0.88,0.89
32217,0.09,0.4
32218,0.18,0.76
32219,0.12,0.33
32220,0.57,0.75
32221,0.51,0.68
32222,0.04,0.08
32223,0.28,0.81
32224,0.5,0.78
32225,0.32,0.25
32226,0.34,0.93
32227,0.13,0.32
32228,0.81,0.75
32229,0.01,0.32
32230,0.07,0.17
32231,0.35,0.72
32232,0.34,0.6
32233,0.01,0.38
32235,0.27,0.75
32236,0.12,0.94
32237,0.78,0.91
32238,0.01,0.03
32239,0.02,0.04
32241,0.52,0.65
32242,0.04,0.44
32244,0.03,0.17
32245,0.2,0.51
32246,0.41,0.68
32247,0.09,0.78
32248,0.49,0.92
32249,0.08,0.49
32251,0.14,0.25
32252,0.57,0.6
32253,0.09,0.2
32254,0.05,0.16
32255,0.06,0.63
32256,0.25,0.58
32257,0.12,0.59
32258,0.1,0.23
32259,0.1,0.77
32260,0.08,0.59
32261,0.09,0.61
32263,0.08,0.32
32264,0.07,0.18
32265,0.22,0.92
32266,0.08,0.66
32269,0.37,0.6
32270,0.42,0.41
32271,0.47,0.76
32273,0.11,0.52
32274,0.36,0.84
32275,0.1,0.52
32276,0.29,0.25
32277,0.12,0.51
32278,0.05,0.21
32279,0.02,0.07
32280,0.24,0.14
32281,0.77,0.89
32282,0.19,0.22
32283,0.15,0.8
32284,0.7,0.84
32285,0.29,0.48
32286,0.12,0.56
32287,0.06,0.65
32288,0.09,0.31
32289,0.39,0.52
32290,0.02,0.07
32291,0.28,0.23
32292,0.2,0.36
32295,0.13,0.27
32296,0.1,0.56
32297,0.43,0.89
32298,0.02,0.05
32300,0.02,0.05
32301,0.12,0.14
32302,0.04,0.27
32304,0.07,0.22
32305,0.07,0.37
32306,0.45,0.76
32308,0.29,0.79
32309,0.2,0.59
32310,0.53,0.79
32311,0.04,0.23
32312,0.43,0.51
32313,0.11,0.09
32314,0.11,0.64
32315,0.14,0.27
32316,0.04,0.83
32318,0.05,0.42
32319,0.15,0.84
32320,0.02,0.05
32321,0.2,0.58
32322,0.02,0.08
32323,0.74,0.91
32324,0.19,0.67
32325,0.2,0.39
32326,0.3,0.22
32327,0.01,0.27
32328,0.04,0.09
32329,0.18,0.32
32332,0.09,0.18
32333,0.01,0.03
32334,0.09,0.4
32336,0.07,0.15
32337,0.24,0.17
32339,0.44,0.74
32341,0.39,0.41
32342,0.08,0.56
32343,0.43,0.78
32344,0.38,0.91
32345,0.13,0.41
32346,0.1,0.27
32348,0.12,0.95
32349,0.14,0.68
32350,0.11,0.63
32351,0.66,0.87
32352,0.01,0.06
32354,0.45,0.56
32355,0.05,0.33
32356,0.13,0.56
32357,0.38,0.64
32358,0.16,0.81
32359,0.55,0.83
32361,0.06,0.62
32363,0.02,0.66
32364,0.13,0.03
32367,0.23,0.69
32368,0.11,0.73
32369,0.28,0.64
32370,0.04,0.17
32371,0.07,0.19
32372,0.07,0.22
32373,0.04,0.19
32374,0.06,0.21
32375,0.22,0.86
32377,0.01,0.38
32378,0.12,0.59
32380,0.11,0.58
32382,0.19,0.69
32384,0.06,0.1
32385,0.06,0.25
32386,0.1,0.33
32387,0.66,0.65
32388,0.06,0.34
32389,0.03,0.05
32390,0.02,0.65
32391,0.19,0.71
32393,0.52,0.62
32394,0.08,0.27
32396,0.08,0.25
32397,0.06,0.45
32398,0.24,0.44
32399,0.56,0.6
32400,0.56,0.65
32401,0.08,0.56
32402,0.03,0.26
32403,0.05,0.69
32404,0.07,0.13
32405,0.16,0.91
32406,0.21,0.22
32407,0.11,0.18
32408,0.07,0.23
32409,0.13,0.57
32410,0.21,0.64
32412,0.03,0.06
32413,0.04,0.24
32414,0.25,0.92
32415,0.08,0.28
32416,0.68,0.94
32417,0.09,0.52
32418,0.03,0.12
